0,1
GAP,80.0
VANS,13.0
GUCCI,11.0
no brand,10.0
CONVERSE,7.0
Indian Jewelry,4.0
AZUL by moussy,4.0
LEPSIM,4.0
GU,4.0
NEW BALANCE,3.0
uniform experiment,2.0
RETRO GIRL,2.0
ヒラキ,2.0
Dedes,2.0
petit main,2.0
MAISON GILFY,1.0
MERCURYDUO,1.0
SOPHNET.,1.0
Ciaopanic,1.0
NICOLE CLUB FOR MEN,1.0
graniph,1.0
SERENE Dept.,1.0
maRe maRe,1.0
LEPSIM LOWRYS FARM,1.0
UNDERCOVER,1.0
Alpha Industries,1.0
DIANA,1.0
FURLA,1.0
niko and...,1.0
ROTHCO,1.0
GRAND GLOBAL,1.0
KATO`,1.0
CA4LA,1.0
Shinzone,1.0
CHILD WOMAN,1.0
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",1.0
GYDA,1.0
passage mignon/flaneur,1.0
tricot COMME des GARCONS,1.0
ZOOM,1.0
JELLY BEANS,1.0
OLIVER PEOPLES,1.0
31 Sons de mode,1.0
etre,1.0
SMIRNASLI,1.0
RNA-N,1.0
bulle de savon,1.0
JOURNAL STANDARD,1.0
METAPHORE,1.0
Church's,1.0
YAKPAK,1.0
COACH,1.0
HEAD PORTER,1.0
SOLOVAIR,1.0
TORNADO MART,1.0
green label relaxing,1.0
Burberry Prorsum,1.0
BEAVER,1.0
LABOUR AND WAIT,1.0
SOFIE D'HOORE,1.0
IDEA,1.0
mizuiroind,1.0
UNITED ARROWS,1.0
GLOBAL　WORK,1.0
Onitsuka Tiger × ANDREA POMPILIO,1.0
VIBGYOR,1.0
COMME CA ISM,1.0
ato,1.0
MoonStar,1.0
