,0,1
0,babyGAP,0.11802378774016468
1,西松屋,0.08325709057639524
2,Q,0.06129917657822507
3,H&M,0.056724611161939616
4,Birthday,0.05489478499542543
5,DAISO,0.03751143641354071
6,しまむら,0.03751143641354071
7,UNIQLO,0.03476669716376944
8,BREEZE,0.03476669716376944
9,F.O.KIDS,0.03385178408051235
10,無印良品,0.03202195791399817
11,Handmade,0.0292772186642269
12,petit main,0.028362305580969808
13,BRANSHES,0.024702653247941447
14,OLD NAVY,0.021043000914913082
15,Seraph,0.01646843549862763
16,apres les cours,0.01646843549862763
17,GAP,0.01463860933211345
18,ASICS,0.01463860933211345
19,mikihouse,0.01463860933211345
20,Ampersand,0.013723696248856358
21,赤ちゃん本舗,0.013723696248856358
22,LOVELESS,0.013723696248856358
23,RALPH LAUREN,0.013723696248856358
24,GUILD PRIME,0.011893870082342177
25,no brand,0.010064043915827997
26,Love&Peace&Money,0.009149130832570906
27,ZARA KIDS,0.009149130832570906
28,3coins,0.007319304666056725
29,BeBe,0.007319304666056725
30,Moujonjon,0.007319304666056725
31,PETIT BATEAU,0.006404391582799634
32,next,0.0054894784995425435
33,NEW BALANCE,0.0054894784995425435
34,ユニクロ,0.004574565416285453
35,JUNK STORE,0.004574565416285453
36,OSHKOSH,0.004574565416285453
37,ORiental TRaffic,0.004574565416285453
38,Champion,0.004574565416285453
39,H&M DIVIDED,0.004574565416285453
40,Familiar ,0.004574565416285453
41,WACKO MARIA,0.0036596523330283625
42,ARMANI BABY,0.0036596523330283625
43,KP BOY,0.0027447392497712718
44,Disney,0.0027447392497712718
45,present,0.0018298261665141812
46,patagonia,0.0018298261665141812
47,DIESEL KIDS,0.0018298261665141812
48,BABYDOLL,0.0018298261665141812
49,mina perhonen,0.0018298261665141812
50,lemoir,0.0018298261665141812
51,キリンのソフィ,0.0018298261665141812
52,kladskap,0.0018298261665141812
53,Rag Mart,0.0018298261665141812
54,nino,0.0018298261665141812
55,GYMBOREE,0.0018298261665141812
56,kid's zoo,0.0018298261665141812
57,HAKKA BABY,0.0018298261665141812
58,IFME,0.0009149130832570906
59,ELENDEEK,0.0009149130832570906
60,Lululemon Athletica,0.0009149130832570906
61,RODE SKO,0.0009149130832570906
62,UGG Australia,0.0009149130832570906
63,gelato pique,0.0009149130832570906
64,COMPILATION,0.0009149130832570906
65,BELLE MAISON,0.0009149130832570906
66,MofM(manofmoods),0.0009149130832570906
67,unica,0.0009149130832570906
68,X-girl first stage,0.0009149130832570906
69,Jordan,0.0009149130832570906
70,stample,0.0009149130832570906
71,Right-on KIDS,0.0009149130832570906
72,WORLD WIDE FAMOUS,0.0009149130832570906
73,NEEDLE WORK,0.0009149130832570906
74,Balcony,0.0009149130832570906
75,HOLLYWOOD RANCH MARKET,0.0009149130832570906
76,Noeil aime BeBe,0.0009149130832570906
77,RAD CUSTOM,0.0009149130832570906
78,LAUREN RALPH LAUREN,0.0009149130832570906
79,gentle monster,0.0009149130832570906
80,AAA+,0.0009149130832570906
81,dress.,0.0009149130832570906
82,BLOC,0.0009149130832570906
83,omake,0.0009149130832570906
84,Kanken,0.0009149130832570906
85,une nana cool,0.0009149130832570906
86,SHIPS KIDS,0.0009149130832570906
87,Biscuit,0.0009149130832570906
88,MSGM,0.0009149130832570906
89,MAC,0.0009149130832570906
90,POLO,0.0009149130832570906
91,Converse,0.0009149130832570906
92,NEWYORKER,0.0009149130832570906
