,0,1
0,HARE,0.1008616320324379
1,Dr.Martens,0.08514951849974658
2,RAGEBLUE,0.08109477952356817
3,WEGO,0.07653319817536747
4,ユニクロ,0.05980739989863153
5,GU,0.05727318803852002
6,STUDIOUS,0.04004054738976178
7,GLOBAL WORK,0.02280790674100355
8,靴下屋,0.020780537252914344
9,coen,0.02027369488089204
10,UNIQLO,0.01875316776482514
11,BEAUTY&YOUTH UNITED ARROWS,0.01469842878864673
12,nano・universe,0.01469842878864673
13,adidas,0.01419158641662443
14,Daniel Wellington,0.012671059300557527
15,ZIP FIVE,0.012164216928535226
16,FREAK'S STORE,0.011657374556512924
17,Lui's,0.011150532184490624
18,CONVERSE,0.01013684744044602
19,LACOSTE,0.01013684744044602
20,URBAN RESEARCH,0.01013684744044602
21,Ciaopanic,0.00912316269640142
22,Reebok,0.00912316269640142
23,New Balance,0.008616320324379118
24,VIBGYOR,0.008109477952356817
25,tk.TAKEO KIKUCHI,0.008109477952356817
26,SEVENDAYS=SUNDAY,0.008109477952356817
27,JOURNAL STANDARD,0.007602635580334516
28,UNITED TOKYO,0.007602635580334516
29,SHIPS JET BLUE,0.007095793208312215
30,BEAMS,0.007095793208312215
31,improves,0.006588950836289914
32,Tabio,0.006082108464267613
33,GAP,0.006082108464267613
34,green label relaxing,0.006082108464267613
35,COMME CA ISM,0.005575266092245312
36,unrelaxing,0.005575266092245312
37,THE SHOP TK ,0.00506842372022301
38,NEW ERA,0.00456158134820071
39,GLOBAL　WORK,0.00456158134820071
40,Right-on,0.0040547389761784085
41,ONITSUKA TIGER,0.0040547389761784085
42,Champion,0.0040547389761784085
43,THE CASUAL,0.0040547389761784085
44,Hawkins,0.0035478966041561076
45,JUNRed,0.0035478966041561076
46,Saucony,0.0035478966041561076
47,And A,0.0035478966041561076
48,SENSE OF PLACE by URBAN RESEARCH,0.0035478966041561076
49,MONKEY TIME,0.0035478966041561076
50,NIXON,0.0030410542321338066
51,PUMA,0.0030410542321338066
52,HARRIS TWEED,0.0030410542321338066
53,ASICS TIGER,0.0030410542321338066
54,NIKE,0.0030410542321338066
55,CASPER JOHN,0.0030410542321338066
56,EDWIN,0.0030410542321338066
57,MAKAVELIC,0.0030410542321338066
58,G-SHOCK,0.002534211860111505
59,無印良品,0.002534211860111505
60,GREGORY,0.002534211860111505
61,WHO'S WHO gallery,0.002534211860111505
62,BEAMS LIGHTS Men's,0.002534211860111505
63,Dr. Martens,0.002534211860111505
64,bpr BEAMS,0.002534211860111505
65,SHIPS,0.002534211860111505
66,MATATABI,0.002534211860111505
67,CASIO,0.0020273694880892043
68,Purple&Yellow,0.0020273694880892043
69,COLEMAN,0.0020273694880892043
70,REGAL,0.0020273694880892043
71,Steven Alan,0.0020273694880892043
72,PORTER,0.0020273694880892043
73,Calvin Klein,0.0020273694880892043
74,NEW BALANCE,0.0020273694880892043
75,CASPER JOHN AIVER,0.0020273694880892043
76,Revo.,0.0020273694880892043
77,HARD MAN JAPAN,0.0015205271160669033
78,Mark Gonzales,0.0015205271160669033
79,HANES,0.0015205271160669033
80,TIMEX,0.0015205271160669033
81,FOSSIL,0.0015205271160669033
82,Komono,0.0015205271160669033
83,Hender Scheme,0.0015205271160669033
84,hardcover,0.0015205271160669033
85,roshell,0.0015205271160669033
86,URBAN RESEARCH DOORS MENS,0.0015205271160669033
87,COMME CA COMMUNE,0.0015205271160669033
88,VIVIFY,0.0015205271160669033
89,keisuke yoneda,0.0015205271160669033
90,DEDESKEN,0.0010136847440446021
91,GIORDANO,0.0010136847440446021
92,INDISPENSABLE ,0.0010136847440446021
93,ROOPTOKYO,0.0010136847440446021
94,stefanorossi,0.0010136847440446021
95,VANQUISH,0.0010136847440446021
96,PUNYUS,0.0010136847440446021
97,DISCOVERED,0.0010136847440446021
98,AKM Contemporary,0.0010136847440446021
99,ANREALAGE,0.0010136847440446021
100,ISSEY MIYAKE,0.0010136847440446021
101,ESSENTIAL GARMENT MEN'S BIGI,0.0010136847440446021
102,BEAMS PLUS,0.0010136847440446021
103,HERSCHEL,0.0010136847440446021
104,Clelia,0.0010136847440446021
105,AVALANCHE,0.0010136847440446021
106,EEL,0.0005068423720223011
107,MHL.,0.0005068423720223011
108,TOPSHOP,0.0005068423720223011
109,UPSTART,0.0005068423720223011
110,ABAHOUSE,0.0005068423720223011
111,colza,0.0005068423720223011
112,BRUNABOINNE,0.0005068423720223011
113,BEAMS T,0.0005068423720223011
114,go slow caravan,0.0005068423720223011
115,TADY&KING,0.0005068423720223011
116,nano・universe LIBRARY,0.0005068423720223011
117,GRAND PHASE,0.0005068423720223011
118,MAISON KITSUNE,0.0005068423720223011
119,JOSEPH ABBOUD,0.0005068423720223011
120,G.H. Bass & Co.,0.0005068423720223011
121,O-NINE,0.0005068423720223011
122,G-Shock,0.0005068423720223011
123,MANGROVE,0.0005068423720223011
124,troentorp,0.0005068423720223011
125,MIND BLOW,0.0005068423720223011
126,Smythe,0.0005068423720223011
127,MUVEIL,0.0005068423720223011
128,Utility,0.0005068423720223011
129,globalwork,0.0005068423720223011
130,MEN'S BIGI,0.0005068423720223011
131,FLYING TIGERS,0.0005068423720223011
132,BEN DAVIS,0.0005068423720223011
133,Bleu Bleuet,0.0005068423720223011
134,kiruna,0.0005068423720223011
135,McGREGOR CLASSIC,0.0005068423720223011
136,rehacer,0.0005068423720223011
137,RED CHOP WORKS,0.0005068423720223011
138,Chica,0.0005068423720223011
139,Dedes,0.0005068423720223011
140,A Question Of,0.0005068423720223011
141,Kanken,0.0005068423720223011
