,0,1
0,GU,0.19306466729147143
1,しまむら,0.08153701968134958
2,AZUL by moussy,0.07872539831302718
3,ZARA,0.07685098406747891
4,UNIQLO,0.05435801312089972
5,titivate,0.03655107778819119
6,CONVERSE,0.033739456419868794
7,coca,0.01874414245548266
8,Handmade,0.01874414245548266
9,JEANASIS,0.01780693533270853
10,CHANEL,0.016869728209934397
11,ユニクロ,0.015932521087160263
12,H&M DIVIDED,0.014058106841611996
13,DONOBAN,0.014058106841611996
14,FURLA,0.013120899718837863
15,earth music&ecology,0.011246485473289597
16,Re:EDIT,0.011246485473289597
17,SISLEY,0.011246485473289597
18,no brand,0.010309278350515464
19,adidas,0.010309278350515464
20,soulberry,0.00937207122774133
21,Honeys,0.00937207122774133
22,LOWRYS FARM,0.00937207122774133
23,GUCCI,0.008434864104967198
24,Emsexcite,0.008434864104967198
25,apart by lowrys,0.008434864104967198
26,INGNI,0.008434864104967198
27,ROSE BUD,0.007497656982193065
28,Heather,0.007497656982193065
29,Minnetonka,0.007497656982193065
30,SPIRALGIRL,0.006560449859418931
31,DHOLIC,0.006560449859418931
32,OLD NAVY,0.006560449859418931
33,ami amie,0.005623242736644799
34,FREE’S MART,0.005623242736644799
35,select MOCA,0.005623242736644799
36,NATURAL BEAUTY BASIC,0.005623242736644799
37,LEPSIM,0.005623242736644799
38,MADNESS,0.005623242736644799
39,CIAOPANIC TYPY,0.004686035613870665
40,ORiental TRaffic,0.004686035613870665
41,GRL,0.004686035613870665
42,PINKY&DIANNE,0.004686035613870665
43,HIAND,0.004686035613870665
44,Pierrot,0.004686035613870665
45,GLOBAL WORK,0.0037488284910965324
46,NETSTAR,0.0028116213683223993
47,DAISO,0.0028116213683223993
48,PATTERN・fiona ,0.0028116213683223993
49,OZOC,0.0028116213683223993
50,atmos/atmos girls,0.0028116213683223993
51,copine,0.0028116213683223993
52,ROPE' PICNIC,0.0028116213683223993
53,SEVENDAYS=SUNDAY,0.0028116213683223993
54,Christian Lacroix,0.0028116213683223993
55,Michael Kors,0.0018744142455482662
56,Sugar Sugar,0.0018744142455482662
57,SPIGA,0.0018744142455482662
58,Plage,0.0018744142455482662
59,reca,0.0018744142455482662
60,THE SHINZONE,0.0018744142455482662
61,MARC BY MARC JACOBS,0.0018744142455482662
62,override,0.0018744142455482662
63,SONIA RYKIEL,0.0018744142455482662
64,＆.nostalgia,0.0018744142455482662
65,zootie,0.0018744142455482662
66,DOUBLE STANDARD CLOTHING,0.0018744142455482662
67,newhattan,0.0018744142455482662
68,夢展望,0.0018744142455482662
69,RCWB,0.0018744142455482662
70,nano・universe,0.0018744142455482662
71,MEER.,0.0009372071227741331
72,Daily russet,0.0009372071227741331
73,Adam et Rope A・E・R,0.0009372071227741331
74,14+,0.0009372071227741331
75,ikka,0.0009372071227741331
76,1PIU1UGUALE3  RELAX ,0.0009372071227741331
77,AS KNOW AS olaca,0.0009372071227741331
78,joujou,0.0009372071227741331
79,CYCLE,0.0009372071227741331
80,And A,0.0009372071227741331
81,go slow caravan,0.0009372071227741331
82,スクリプト花旅楽団,0.0009372071227741331
83,Durer,0.0009372071227741331
84,mature ha.,0.0009372071227741331
85,TATAMI,0.0009372071227741331
86,Casselini,0.0009372071227741331
87,FOREVER21,0.0009372071227741331
88,Ray BEAMS,0.0009372071227741331
89,INTERPLANET WINGS,0.0009372071227741331
90,MU,0.0009372071227741331
91,Mimpie,0.0009372071227741331
92,BUNNEY,0.0009372071227741331
93,Ungrid,0.0009372071227741331
94,AMIW,0.0009372071227741331
95,G-STAR RAW,0.0009372071227741331
96,JOURNAL STANDARD,0.0009372071227741331
97,&byPinky&Dianne,0.0009372071227741331
98,PAUL&JOE SISTER,0.0009372071227741331
99,Kate Spade,0.0009372071227741331
100,YOKO CHAN,0.0009372071227741331
101,NORTHERN TRUCK,0.0009372071227741331
102,Spick & Span,0.0009372071227741331
103,Ne-net,0.0009372071227741331
104,TONE SELECT GOODS,0.0009372071227741331
105,A BOND,0.0009372071227741331
106,CASPER JOHN AIVER,0.0009372071227741331
107,PANCOAT,0.0009372071227741331
108,4℃,0.0009372071227741331
109,Pippichic,0.0009372071227741331
